image	caption
/content/MediaEval_NewsImages/Training Dataset/F9EFFB2769822034CE49EC00BFCE0790.jpg	Athol Daily News - 78th Invitational Four Ball at Country Club of Greenfield gets underway on Thursday denofrio justin dion jason kelton cory heyes kevin piecuch david donoghue reece mcleod dave kennedy chris ferriter andy lesenski chris austin michael bechard chris cervini jamie crocker nate burdick sam wolanske chris bourbeau matt grayson connor piecuch joe wilson ryan cote cody booska country club of greenfield
/content/MediaEval_NewsImages/Training Dataset/706FC9063F2E44D3F7A90B51AAEF20BD.jpg	In battle versus Trump, DeSantis, rest of GOP 2024 field, Pence 'confident we'll have the resources' trump paul steinhauser chris christie mike pence doug burgum ron desantis dunkin donuts white house republican national committee
/content/MediaEval_NewsImages/Training Dataset/8CFF1034C9831CC20E8039AE623BDFB3.jpg	Apple Valley deputies respond to arson, burglary calls rex tiffany ann crossland dangelo malik jones stacey mcmillan hector huerta deputy almazan benjamin almazan high desert detention center winco foods
/content/MediaEval_NewsImages/Training Dataset/FBAF222B45406C5511850141B05DD362.jpg	'MasterChef''s Ryan Walker on What Led to His Downfall in the Field Team Challenge clark katz gordon ramsay ryan walker 
/content/MediaEval_NewsImages/Training Dataset/1BF903DDFAD9689968B6CEED3D4DE930.jpg	'RHOC' recap: Tamra Judge throws napkin at Jennifer Pedranti, storms off in explosive fight boyajian jennifer pedranti bravo tamra bravo pedranti shannon beador todd williamson peacock emily simpson heather dubrow 
/content/MediaEval_NewsImages/Training Dataset/B44DAD466B4473A8AE4332C1F62F1AA7.jpg	Big Lots in Sylmar closes after small fire breaks out angeles fire department big lots
/content/MediaEval_NewsImages/Training Dataset/820DA4BE567D2A312A6F6A40F7FACA8E.jpg	Models show the NY Islanders' off-season perhaps wasn't that bad after all lamoriello bo horvat pierre engvall ilya sorokin semyon varlamov josh bailey kyle palmieri mathew barzal brock nelson dom luszczyszyn 
/content/MediaEval_NewsImages/Training Dataset/E7DD0C6E45D8E6DFBB7BCD3A75D736A0.jpg	Trump screens 'Sound of Freedom,' seeking to rally evangelicals with trafficking fear ballard steve bannon jack smith white house department of justice trump advisory commission on hispanic prosperity operation underground railroad
/content/MediaEval_NewsImages/Training Dataset/9C568B2F0E81419D1B57376F536C44CC.jpg	Invaders damage 664 cultural heritage objects in Ukraine center ukraine ministry of culture
/content/MediaEval_NewsImages/Training Dataset/E39B146CB283D7CD1A84A96DD56569A6.jpg	What Was Said | Maximum Fun nguyen ncuti gatwa palmira muniz laura swisher trevell anderson michelle buteau twitter scottish parliament
/content/MediaEval_NewsImages/Training Dataset/EE0474E1BA537CDDD63A63269C0370FB.jpg	Gavin Newsom's mental health plan could strip more than $700 million from services, report says richards gavin newsom lishaun francis adrienne shilton christine stoner-mertz darrell steinberg california alliance of child california alliance of children family services mental health services department of health care services accountability commission newsom deputy communications analyst office youth behavioral health initiative mental health services oversight
/content/MediaEval_NewsImages/Training Dataset/59CF70A3A070F46CDFC2AAA2C4A50E34.jpg	MKE County: Public Meetings On King Park Homeownership Project Announced development alliance mental health emergency center habitat for humanity department of health human services marcia p coggs human services building emem group king park community center office of equity
/content/MediaEval_NewsImages/Training Dataset/C9148171CCD58490B06E1B72E1BED077.jpg	Ploughing 2023 moves to online-only tickets ploughing association
/content/MediaEval_NewsImages/Training Dataset/A15DAC8C03296C808E78AF05B6A08A53.jpg	US Says Russia Prepared to Attack Ships in Black Sea, Blame Ukraine house national security council
/content/MediaEval_NewsImages/Training Dataset/20EBD0F771AEE41DA3B32930C6563E69.jpg	Business Spotlight: High Horse Mobile Bar | Racine County Eye wood lab facebook
/content/MediaEval_NewsImages/Training Dataset/80E00489346D8D34032C1A25673945EC.jpg	Former Red Sox infielder suffers broken leg from foul ball while coaching morgan jody reed griffin benedict skip schumaker 
/content/MediaEval_NewsImages/Training Dataset/1EEC2781078484C0C180D340380B06D4.jpg	'How I Met Gilgo Beach Murderer': Northern Westchester Woman Reveals Chilling Story barthelemy dominique michelle vidal amber costello maureen brainard-barnes megan waterman suffolk county police suffolk county district attorney office
/content/MediaEval_NewsImages/Training Dataset/CFD13BF3ECA6A0AFD5308AB8AFA7740F.jpg	10 'Best Value For Money' Cali Restaurants Were Added To The Michelin Guide | V97 oakland los angeles cobi santa monica michelin
/content/MediaEval_NewsImages/Training Dataset/3D528EC99D06FAF8D9F6CC83A03D0AF4.jpg	Shining lights of Aotearoa: Trailblazers honoured at NgÄ Tohu Matariki o Te Tau awards whakarauora tohu matariki reo o taranaki teresea olsen tukiterangi curtis joelle king lyvia marsden huihuinga o matariki maia mariner haare williams taura whiri ruakere hond taranaki national council of maori nurses te arawa lakes community award
/content/MediaEval_NewsImages/Training Dataset/D4686C26EAAC7B298564C6E8B56E6BEB.jpg	City Endorses New Lakefront Marathon Course With Hoan Bridge brostoff scott stauske russell w stamper badgerland striders alderman robert bauman milwaukee police department baird center department of public works public works committee gannett
/content/MediaEval_NewsImages/Training Dataset/26866CA72E0889092FE8D7B11CA8048F.jpg	Reigning gold and glory wachman seamus hughes kennedy shane sweetnam mclain ward charlie mcconalogue gorla minore irish equine centre irish thoroughbred breeders association army equitation school
/content/MediaEval_NewsImages/Training Dataset/CF6D704F5D7237FCA288E6AC6E5C78FA.jpg	Former Patriots CB: Bill Belichick 'absolutely not' the best NFL coach belichick bryant mcfadden mac jones tom brady asante samuel 
/content/MediaEval_NewsImages/Training Dataset/0313FAC5EE3017800102D1836975E925.jpg	Zac Brown Gives Update On Bandmate John Driskell Hopkins brown john driskell hopkins 
/content/MediaEval_NewsImages/Training Dataset/D1142637EBF6BA6C18E183AE895A1CDB.jpg	Two shootings in Macon a week apart and at the same hotel boddie dwayne williams bibb sheriff office bibb county sheriff office atrium health navicent
/content/MediaEval_NewsImages/Training Dataset/77314EE45B8DBD23F353C28B5657C37B.jpg	North Kansas Citians remember officer Daniel Vasquez 1 year since he was killed vasquez don davis chouteau trafficway kansas city police kevin freeman
/content/MediaEval_NewsImages/Training Dataset/CB6E803B2803833E4A58B2AD7C87CF82.jpg	Donald Trump Jr. Addresses Jason Aldean Video Controversy â€“ Billboard allison russell rabichev neil thrasher jason aldean kelley lovelace sheryl crow tully kennedy shaun silva donald trump twitter company name internet marketing company
/content/MediaEval_NewsImages/Training Dataset/D92D0AC6C3E6BCA2A51BD2FCE9F5E743.jpg	Elon Musk talks up Tesla's Cybertruck on earnings call other tesla inc
/content/MediaEval_NewsImages/Training Dataset/EA54745C79C141BEDCE294B81B1C6434.jpg	12 patients at Gulf Breeze doctor's office died of overdose, Florida Department of Law Enforcement says department of law enforcement
/content/MediaEval_NewsImages/Training Dataset/1DA46163BF2A6983B4624DC37EEDF84D.jpg	Dems rip GOP for appropriating 'two-tier justice system' from Black Americans in Hunter Biden hearing floyd donald trump breonna taylor united states
/content/MediaEval_NewsImages/Training Dataset/8CADD8E269B57E735EE223CDCAEC98B5.jpg	Women's World Cup Security Heightened Following Shooting in New Zealand mjelde chris hipkins peter filopoulos tamaki makaurau police superintendent sunny patel united states
/content/MediaEval_NewsImages/Training Dataset/AE55A8C834D53326A4FB3CBE8FFCDE6E.jpg	Canada's Pacific dock workers issue strike notice; Trudeau holds crisis meeting helgren nia williams david ljunggren jonathan oatis omar alghabra daniel wallis leslie adler ismail shakil steve scherer pierre poilievre jagmeet singh chris reese justin trudeau canadian chamber incident response group international longshore reuters democratic party warehouse union
/content/MediaEval_NewsImages/Training Dataset/1D3672D4EDA046B7398DC5136A28DAF7.jpg	Longtime college administrator Lew Perkins dies at the age of 78 bias ralph miller lew perkins travis goff mark mangino bill self gary williams eddie fogler university of south carolina-aiken fame board of trustees
/content/MediaEval_NewsImages/Training Dataset/0780635DD7449F4C49F85099FFAE411D.jpg	Police: Teens Cuffed For Trying to Steal Cars in NJ Casino Garage city police department facebook hyundai
/content/MediaEval_NewsImages/Training Dataset/F6B3B6438FAFA7464A2D5E6471101D84.jpg	Arable Awards 2023: Finalists the 'cream of the crop' macdonald richard chynoweth fiona maw angus mckenzie hugh ritchie anna whiteside toni auld bruce garrett david clark anna gillum stewart armstrong james abbiss paul johnston yara roscoe taggart nick hishon graeme jones jude henderson nigel rathgen stuart gowers mark framptom lou gardyne kath walters nigel greenwood blair drysdale david birkett mark shera jo innes phil jackson adrienne wordsworth john austin craig muckle food research green to gold ltd barenburg nz plant breeding team john austin ltd pure nz buckwheat ltd parkfields farm ltd andrew darling of adar farming ltd m gardyne ltd innes fields ltd t a whiteside co christchurch air force museum pure new zealand buckwheat ltd wairuna farm ltd
/content/MediaEval_NewsImages/Training Dataset/0166CD471D8C777802403AD68A64C616.jpg	3 Raiders players who won't be on the roster after training camp nichols derek carr maxx crosby neil farrell jr josh mcdaniels jimmy garoppolo byron young las vegas jane gershovich getty 
/content/MediaEval_NewsImages/Training Dataset/3C0ACBB586C4A640FD867D9A6F412C12.jpg	Tesla Q2 2023 Earnings: Broad Beat as Sequential Revenue Growth Slows bloomberg twitter
/content/MediaEval_NewsImages/Training Dataset/85942FA477683E73B8938C97B133046E.jpg	Florida education panel approves African American history standards, despite opposition desantis manny diaz jr ben gibson united states college board florida partnership florida education association
/content/MediaEval_NewsImages/Training Dataset/C7AF18F950873A91E8AB01AB025E21E4.jpg	Top 15-inch MacBook Air Carrying Sleeves [List] stow slim facebook twitter
/content/MediaEval_NewsImages/Training Dataset/DCDF7D435ECE75E164C2EC6E324E56A9.jpg	Irish Examiner view: Nation gets behind Republic of Ireland at the Women's World Cup women national team
/content/MediaEval_NewsImages/Training Dataset/4AEA032708C898E391C730C7934E4E73.jpg	Jan. 6 charges against Trump would add to his mounting legal peril as he campaigns for 2024 biden donald trump alvin bragg stormy daniels ruby freeman mike pence jack smith u s house committee associated press national archives united states white house
/content/MediaEval_NewsImages/Training Dataset/81E3299977E99DBA6BA749E4A71ED0CC.jpg	76ers lay out what they want for James Harden or they're 'not going to do it' embiid james harden ime udoka jake fischer daryl morey 
/content/MediaEval_NewsImages/Training Dataset/81749DEFB76EAB6786AC29F28B521537.jpg	Alcohol can be sold at university stadiums under new law state university university of minnesota university of michigan a michigan senate fiscal agency ohio state university
/content/MediaEval_NewsImages/Training Dataset/FA16188494787470CA6441DA4B21B6AB.jpg	Down to the Wire: Roughriders discovering valuable lessons with close games johnson charbel dabire fred wagman pete robertson frankie hickson logan ferland brett lauther craig dickenson brandon council centre peter godber canadian football league
/content/MediaEval_NewsImages/Training Dataset/3D2CA2FE078E65AAAC551F176ABB10DD.jpg	Bobby Dalbec helps turn 5-4-3 triple play for WooSox vs. RailRiders hermosillo bobby dalbec alex verdugo stephen scott scranton wilkes-barre railriders nick sogard jamie westbrook 
/content/MediaEval_NewsImages/Training Dataset/95B64150886CF8307502E8B04CCD2498.jpg	PrideStar Trinity employee killed in head-on crash in Pelham, N.H. pridestar trinity brian barbato chris dick pelham fire department hampshire state police traffic accident reconstruction team pelham police
/content/MediaEval_NewsImages/Training Dataset/2B25604D10516F526C78E686D77D5E33.jpg	US soldier defects to North Korea: Travis King was 'breaking down' over family tragedy before wild dash king karine jean-pierre incheon international airport freedom house white house
/content/MediaEval_NewsImages/Training Dataset/2ACC70B56EA9879B39F12D4B244BBD3E.jpg	Auckland CBD shooting: Fifa Women's World Cup opener going ahead, ticket message for fans maia jackman fatma samoura tamaki makaurau gianni infantino us women national team
/content/MediaEval_NewsImages/Training Dataset/6B26A3FFE3FAD8F5DB0E9AA71EDA2C1A.jpg	Mana-enhancing app supporting mental health and wellbeing of rangatahi of psychological medicine university of auckland waipapa taumata rau
/content/MediaEval_NewsImages/Training Dataset/AA505D00DA60817E56E797B4ED487D4B.jpg	New Search Warrant In 2Pac Murder Case Connected To Rumored Killer's Uncle clemons las vegas orlando anderson suge knight mike tyson los angeles sheriff department
/content/MediaEval_NewsImages/Training Dataset/6B4C3242BE9FB23DB53AC468BA32F163.jpg	Tesla margins slip on price war, Musk warns of 'turbulent times' motor united states
/content/MediaEval_NewsImages/Training Dataset/003137C53DB5A9652FC1B26B8449DFD8.jpg	General Motors Promises To Ramp Up EV Production After Slow First Half Of 2023 rory harvey lyriq suvs brightdrop van mary barra detroit free general motors detroit free press
/content/MediaEval_NewsImages/Training Dataset/3613A47179C8163ADB3AFB5A907A959A.jpg	Burnaby, B.C. events this month: Orange Run 2023 affairs facebook
/content/MediaEval_NewsImages/Training Dataset/C41ED6631EFFC024EF7F17CD848FCC2E.jpg	Ides of March's Jim Peterik recalls collapsing on stage scheerer sun peterik facebook jim peterik ron onesti jam lab facebook centers for disease onesti entertainment corp
/content/MediaEval_NewsImages/Training Dataset/7FD6D48BB435C360E14425099617B711.jpg	Talk About A Crappy Situation, Truck Causes Multiple Accidents After Spilling Human Waste police interceptors honda connecticut state police
/content/MediaEval_NewsImages/Training Dataset/31F5C3187F0D5F13D6383BF781F2FCC1.jpg	San Antonio Spurs all-time starting lineup by Win Shares nash james silas jason kidd david robinson dejounte murray tim duncan johnny moore tony parker rajon rondo san antonio spurs
/content/MediaEval_NewsImages/Training Dataset/AE85A956B952C9A96EF75AA8CC68BEB5.jpg	JaxCo withholding $6M from assessment firm's contract pending improvements technologie frank hanis sarah plake troy schulte 
/content/MediaEval_NewsImages/Training Dataset/78AB7710001BF4FFFC15587E6076CE3B.jpg	2023 MLB trade deadline: Orioles kick things off with Shintaro Fujinami deal ohtani easton lucas shintaro fujinami atlanta braves chicago white sox
/content/MediaEval_NewsImages/Training Dataset/2F2FC555920EAE27167B93E4FB155A32.jpg	New Eatery Opens In Westchester: 'We Are Like Family At This Restaurant' barrott jennifer furioli winston bernal 
/content/MediaEval_NewsImages/Training Dataset/5781DB591009A44F903AD3B1ABBCA9B9.jpg	50 years ago, MSU student Henry Baltimore Jr. 'disappeared with no trace' sexton tony baltimore lural baltimore henry baltimore jr andrew acciaioli roy davis henry baltimore scott wriggelsworth lansing police department
/content/MediaEval_NewsImages/Training Dataset/A0873A5FFF1AA922295B5123059BE449.jpg	New Funding Available in NY for EV Charging Infrastructure rebate program
/content/MediaEval_NewsImages/Training Dataset/A8619AF4C1C76693AE79ED83760E8B20.jpg	Region/state roundup: W&M linebacker John Pius makes third preseason All-America list bryant jr dana tate stanley davis jr trey morgan william mary john pius jalon miller joe mantiply cameron young james madison malique trent norah ciano jack hurley robert jones devante carter armaan franklin jim callis mason dunaway university of virginia denver nuggets coastal plain league america team hampton university cross country coaches association
/content/MediaEval_NewsImages/Training Dataset/24E9C6E7D6A3CAE1539EA489D73C018F.jpg	Child Rape: Hudson Valley 'Predator' Who Abused Minor For Years Gets Decades In Prison county court on
/content/MediaEval_NewsImages/Training Dataset/E37BF6F24FF6FA46C0E47AA496BAE471.jpg	Did Singer Jason Aldean Replace Garth Brooks as CMA Emcee? brooks joe barron jason aldean facebook twitter academy of country music country music television associated press country music association
/content/MediaEval_NewsImages/Training Dataset/4BCA731366710A19EEF7B20C185CBA5F.jpg	Mom, 5-year-old daughter found dead after being swept away by river in Connecticut: police tardif kelly dora paul copleman william w backus aralye mckeever police do connecticut children medical center connecticut department of energy
/content/MediaEval_NewsImages/Training Dataset/936E1AF4D0B4C38D6ACD93776B03F091.jpg	Indian team wins bronze in Asian Surfing Championship of external affairs tt group federation of india world surfing league tamil nadu surfing association sports development authority of tamil nadu news service
/content/MediaEval_NewsImages/Training Dataset/F689E429BFFB96E744EC1114139E24C5.jpg	Canadian government recruits high-skilled foreigners in US to work in Canada fraser jeremy bellefeuille bruce heyman google ibm
/content/MediaEval_NewsImages/Training Dataset/F1F35117EEF86BD8E5D71C802EB7E44C.jpg	Ninth Circuit kills political ban for civic workers khan rob bonta martha berzon sandra ikuta jerry brown haywood gilliam jr krista henneman charlie gerstein daniel chung jeff rosen circuit court u s supreme court
/content/MediaEval_NewsImages/Training Dataset/018577248EE849E8705A88F89CF111D5.jpg	Mahopac Man Nabbed For Running Light, Hitting Car Before Driving Away: Police police on yorktown police yorktown justice court on
/content/MediaEval_NewsImages/Training Dataset/402B913395A0B6D40608DB748D723E06.jpg	MLB Trade Grades: Orioles roll dice on Shohei Ohtani's old rival lucas sean murphy fansided robert murray shintaro fujinami jon heyman jonheyman shohei ohtani matt olson jon heyman 
/content/MediaEval_NewsImages/Training Dataset/E52ED65068059D1A6F1D0C000F69BE64.jpg	Trump-backing 'fake electors' charged over alleged scheme to overturn 2020 US election result nessel marian sheridan donald trump meshawn maddock joe biden mike pence united states us justice department twitter michigan republican party republican party republican national committeewoman kathy berden
/content/MediaEval_NewsImages/Training Dataset/20141D7347156E16ACF3147694CC71E8.jpg	Jamaica To Forgo US$10 Million In Levy Payments From Cash-strapped Windalco clarke halshane burke phillip paulwell bauxite alumina company windalco
/content/MediaEval_NewsImages/Training Dataset/BA53D213FC412E5D622A4968D2D04983.jpg	McKinleyville Community Service District breaks ground on 4.5 million-gallon water tank to be used in case of future disasters community service district
/content/MediaEval_NewsImages/Training Dataset/EF8FCB3A2304CEE9E909E15EE26296E3.jpg	Anwar says he will release proof of Felda settlers' debt waiver on July 20 nasional kampung raja musa muhyiddin yassin datuk johan mahmood anwar ibrahim maal hijrah messrs rosli dahlan saravana partnership
/content/MediaEval_NewsImages/Training Dataset/FD5B0F98E0EACD6B830411B2EBB3D1B5.jpg	Grounded Sole Coffeehouse supporting family of KCK stabbing victim penrod perez gofundme stephanie perez police department
/content/MediaEval_NewsImages/Training Dataset/C96BF5226E6FA2BEE67675DC3311D083.jpg	Rep. McClinton talks about new role in Harrisburg university villanova law school geisinger commonwealth school of medicine youtube family health services in scranton
/content/MediaEval_NewsImages/Training Dataset/CA6E94E11C733CD4153FA9AC33CAF4A3.jpg	New report tackles thorny issue of land use changes use fund european commission national economic department of agriculture
/content/MediaEval_NewsImages/Training Dataset/6FB20DA271F467A9A5EFD393E30252FC.jpg	Westchester County storms: Mount Pleasant declares state of emergency after severe flooding fulgenzi mike farruggia wendy tedesco 
/content/MediaEval_NewsImages/Training Dataset/8D1D40A3AE16755B4EA200AD7B15DDD1.jpg	Chiefs Rookie DE Felix Anudike Uzomah Thumb Injury100 percent Starting Camp boye-doe mike danna wanya morris charles omenihu george karlaftis mike borgonzi felix anudike-uzomah lee summit high school
/content/MediaEval_NewsImages/Training Dataset/501889BB7C961FF13F847588159C890E.jpg	Tesla profit jumps, Netflix subs surge after password crackdown airlines netflix ibm goldman sachs
/content/MediaEval_NewsImages/Training Dataset/1E68F374EFB9074C441D9251DC301E20.jpg	S Korea financial watchdog gathers securities firms to manage real estate risks supervisory service
/content/MediaEval_NewsImages/Training Dataset/58F3E690677F8D4EDE14011E0B24A721.jpg	Hot Alert! Before Nikki Tamboli, these television actresses raised temperatures in TOPLESS avatar kamra shama sikander mandira bedi karishma tanna kashmeera shah nikki tamboli 
/content/MediaEval_NewsImages/Training Dataset/BCA68C49E0EC49B126E9F7A70056E004.jpg	Anger as farm organisations accused of 'lurching to the far right' 19 July 2023 Free mccormack vincent roddy padraic fogarty irish wildlife
/content/MediaEval_NewsImages/Training Dataset/608B407F5B8997B43B003DA214FA39B9.jpg	Southern California man convicted in 2018 spa bombing that killed ex-girlfriend viejo stephen beal annamartine salick los angeles 
/content/MediaEval_NewsImages/Training Dataset/881BAB97F6B82F0A39213478D343EA83.jpg	House Homeland GOP report accuses Mayorkas of 'intentional' dereliction of duty over border crisis judiciary committee united states
/content/MediaEval_NewsImages/Training Dataset/322EE65CCA0D5BF601DBDA4EDFC9188C.jpg	Auckland shooting: Three dead, five injured - police to provide update fulei chris hipkins matu tangi matua reid auckland district court zealand police
/content/MediaEval_NewsImages/Training Dataset/08AA4BF500B6E56209BC2AC6863679D7.jpg	A Brand New Theme Park Is Coming To Oklahoma, And It Looks Ambitious mansion entertainment group
/content/MediaEval_NewsImages/Training Dataset/01F7ABEF63AC8330DCD0E7A647378005.jpg	Sharjah Chamber Set To Kick Off Al Dhaid Date Festival On July 27 saeed buzanjal al dhaid al tunaiji al ratab khanzi rashid muhair al ketbi mohammed ahmed amin al-awadi abdelaziz shattaf khalil al mansouri fadel al ketbi muhammad al qasimi mohammed musabah al tunaiji abu dhsbi supreme council member organization committee sharjah chamber corporate communication department largest dates branch evaluation committee
/content/MediaEval_NewsImages/Training Dataset/6F881C9B0935C5EF9F38DC17E0FF62FA.jpg	Cleveland Clinic Abu Dhabi's Bariatric Surgery Program Treats Over 3,200 Patients With Complex Chronic Conditions health organization mubarak center national health survey pathology laboratory medicine bariatric surgery program
/content/MediaEval_NewsImages/Training Dataset/6513A9BCE21A660C8B309B629CA84447.jpg	Latest Aaron Judge update will give Yankees fans a glimmer of hope hoch aaron boone aaron judge chris kirschner chriskirschner chris kirschner aaron new york post
/content/MediaEval_NewsImages/Training Dataset/741F6DF9E82B9762B8E89790D0947ED3.jpg	Hunter Biden: Who are the IRS tax whistleblowers? zielger hunter biden david weiss donald trump lesley wolf jim jordan jamie raskin gary shapley joe biden investigations division house oversight committee white house international tax oversight committee revenue service
/content/MediaEval_NewsImages/Training Dataset/8F550A085EBEA871AC4EDBCA53F41FE0.jpg	National Interest In Strategic Partnership: Case Of Malaysia-Vietnam Relations â€“ Analysis francis hans j morgenthau nigel jackson ahmad bashawir abdul nicolas j wheeler nicholas j wheeler ehsan mehmood anwar ibrahim doctor thesis of philosophy of murdoch university council of europe gentimir united nations university research debate strategic partnership between the european union organization of islamic oxford university press school of humanities centre for european routledge oxford university ministry of foreign affairs of malaysia university of new south wales introduction to international relations american way of partnership naval war college alexandru ioan cuza university of iasi royal institute for international relations united states national interest russian federation
/content/MediaEval_NewsImages/Training Dataset/0CC9EF7A00C572064E4D1C515BDE9B62.jpg	'Time to move on': Surrey mayor appears boxed in after province turns police recommendation into an order locke mike farnworth ken sim rob gordon doug mccallum linda annis surrey police service national police federation
/content/MediaEval_NewsImages/Training Dataset/BD43F333DA8A392A997AA34937066D7B.jpg	Coach Alvis Johnson Jr. baptist church
/content/MediaEval_NewsImages/Training Dataset/C9386BB768DEED300506250C3E6030D9.jpg	Exclusive! Ayesha Singh reveals how she got rejected for Choti Sarrdaarni and talks about how she landed the role of Ghum Hai Kisikey Pyaar Meiin sarrdaarni ayesha singh zindagi abhi baaki hai ghum hai kisikey pyaar 
/content/MediaEval_NewsImages/Training Dataset/B0924A2C1EE0F39B4C24CDA9B179AA3D.jpg	Kuno cheetah deaths: Could radio collars be killing the big cats in India? kumar yadvendradev jhala rajesh gopal narendra modi 
/content/MediaEval_NewsImages/Training Dataset/3AC1A0757DBFB2A997ED3EE5011DD892.jpg	Prince Albert faces first ever strike over one per cent negotiation point rawlinson centre
/content/MediaEval_NewsImages/Training Dataset/3A1D72A99FC16966F52F656F412FE278.jpg	Disney+ Quietly Releases Marvel's Assembled: The Making of Ant-Man and The Wasp: Quantumania lang paul rudd michelle pfeiffer hank pym michael douglas paul rudd evangeline lilly blu ray peyton reed adam mckay disney marvel studios
/content/MediaEval_NewsImages/Training Dataset/989B6F760757DC87C8F7C1F0637E4069.jpg	Mammals may have hunted down dinosaurs for dinner, rare fossil suggests museum of nature university of edinburgh
/content/MediaEval_NewsImages/Training Dataset/0D5CD1FECBA0B0624E5AE88EE2BB3A9C.jpg	Patriots host another Super Bowl champion running back for workout (report) henderson leonard fournette kevin harris tom brady mac jones todd gurley mike reiss damien harris deandre hopkins rhamondre stevenson espn
/content/MediaEval_NewsImages/Training Dataset/E62D3FD78CADAFA61B7DB5736121BC14.jpg	Valley man recalls moment when bison attacked his fiancÃ©e national park for chris whitehill yellowstone national park
/content/MediaEval_NewsImages/Training Dataset/7932F2BC970DD51A0A62280A776805F9.jpg	The Green Cement Conference Sparks Transformative Discussions For A Data-Driven Net Zero Transition nader geocycle hellas terry pavlopoulos waste to energy world cement association mckinsey company titan cement company
/content/MediaEval_NewsImages/Training Dataset/22E05C146A6B45F790EA5488BD7A5164.jpg	In remission from HIV, a sixth person could join the club of those possibly cured cromhout deborah persaud institut pasteur sharon lewin steven deeks huachun zou university of california world health organization johns hopkins university school of medicine university of kwazulu sun yat-sen university school of public health peter doherty institute for infection society conference
/content/MediaEval_NewsImages/Training Dataset/1FC8800ABBC29149444A47ED68594BC9.jpg	NFL rumors: Cowboys, Steelers connected to trade for Jets cut candidate cobb kenny pickett michael gallup amari cooper george pickens allen robinson josinaanderson josinaanderson frisman jackson denzel mims brandin cooks brian costello diontae johnson sam darnold allen lazard corey davis garrett wilson cleveland browns aaron rodgers new york post baylor university dallas cowboys
/content/MediaEval_NewsImages/Training Dataset/894A3255F3C890985B4235133E91BEA8.jpg	Democrat quits Pa. House, leaving chamber tied at 101-101, special election set mcclinton trevor southerland sara innamorato sara innamorato allegheny joseph rockey john galloway jason gottesman matt rourke shell
/content/MediaEval_NewsImages/Training Dataset/FF737F33B91985637C16A2054E0F3AA6.jpg	Nursing home workers to picket Claremont facility campbell danielle williams carmen roberts shlomo rechnitz los angeles rockport healthcare services california department of health alameda health wellness center gardenview healthcare wellness center los angeles superior court centinela skilled nursing wellness centre shasta county superior court windsor redding care center
/content/MediaEval_NewsImages/Training Dataset/A159DD11E9A0ADDEA1EFA6E0607D39EA.jpg	Women's World Cup security heightened ahead of opening match following deadly shooting in Auckland fryer peter filopoulos chris hipkins tamaki makaurau steve mcmorran associated press police superintendent sunny patel united states
/content/MediaEval_NewsImages/Training Dataset/71032740C2B532AEB55E2C510EB8ECFB.jpg	Sheffield man pleads guilty to child sexual assault charges ilberg timothy shugrue police detective unit massachusetts state police berkshire d a office d a office berkshire county district attorney office centers for disease violence prevention center multidisciplinary team high risk team leader kristen rapkowicz berkshire superior court
/content/MediaEval_NewsImages/Training Dataset/89BFFD049E85CE88C2FD645D8108F328.jpg	Planning Board OKs retail building, bank on East Main St., sign for Westfield Fair levesque associates
/content/MediaEval_NewsImages/Training Dataset/DEA111847E809AD5A768CA3801BE5F3B.jpg	Wife of Gilgo Beach murder suspect files for divorce brainard-barnes megan waterman rex heuermann amber costello melissa barthelemy asa ellerup suffolk county supreme court cnn
/content/MediaEval_NewsImages/Training Dataset/10754E3DAD52C4D1D61E557A95FE1308.jpg	Keanu Reeves' band Dogstar is back, and going on tour mailhouse keanu reeves bret domrose 
/content/MediaEval_NewsImages/Training Dataset/30C18296FBB87010783CA8C760CD0C5C.jpg	Timeline of events surrounding failed talk leading to the B.C. port strike trudeau seamus oregan omar alghabra 
/content/MediaEval_NewsImages/Training Dataset/7017BC41E680D67E39EFD18B66E7C1F1.jpg	Sydney north shore school hosts a 'compulsory' sleepover; parents are concerned of education facebook
/content/MediaEval_NewsImages/Training Dataset/B2CF0289CF7DD0ACDEA6F5D2B5F3B1B0.jpg	Kentucky governor declares emergency after heavy rainfall causes widespread flooding sykes kathy stewart onan nathaniel rhodes graves county sheriff office cnn
/content/MediaEval_NewsImages/Training Dataset/4F03319339C96680BB78CBA7A4C4DB08.jpg	Rex Heuermann's wife pictured for first time as she files for divorce from Gilgo Beach serial slaying suspect brainard-barnes megan waterman amber costello melissa barthelemy shannan gilbert ray tierney 
/content/MediaEval_NewsImages/Training Dataset/912E6848865975043D8F77B56960C6B9.jpg	Simone Gannon: Eight beauty buys for the summer of Barbie thomas janeiro cheirosa barbara roberts primark mattel
/content/MediaEval_NewsImages/Training Dataset/822A651C807803D7725C385162E5A0D1.jpg	LA city and county departments back the Harvard-Westlake project on LA River commons judy chaikin los angeles laurie cohen department of recreation los angeles river cooperation committee department of water planning commission on aug l a river cooperation committee u s army corps of engineers department of public works harvard-westlake school
/content/MediaEval_NewsImages/Training Dataset/00528F7DA0C779A0FD05ED70DD149879.jpg	Mtc Partners With Huawei To Accelerate Smbs' Digital Transformation In The Region li houssam mobied david shi memory technology middle east gartner huawei enterprise business group
